tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,propietario_id
INSCRIPCION INICIAL NACIONAL,2024-02-05,2024-02-05,1215,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9F,AMAROK COMFORTLINE CD TDI AT 4X2,1.0,Privado,1115.0
INSCRIPCION INICIAL NACIONAL,2024-02-29,2024-02-29,1176,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BG,HILUX 4X4 DC SRV 2.8 TDI 6 AT,1.0,Privado,1110.0
INSCRIPCION INICIAL NACIONAL,2024-02-21,2024-02-21,1198,Nacional,2024.0,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1.0,Privado,772.0
INSCRIPCION INICIAL NACIONAL,2024-02-09,2024-02-09,1171,Nacional,2024.0,20,PICK-UP,19,FORD,1L,RANGER DC XLS 2.0L T 4X2 MT D,1.0,Privado,876.0
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,1207,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1207,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1207,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1207,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-21,2024-02-21,1172,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-20,2024-02-20,1195,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9N,AMAROK COMFORTLINE CD V6 AT 4X4,1.0,Privado,11898.0
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,1171,Nacional,2024.0,20,PICK-UP,68,TOYOTA,CD,HILUX 4X2 DC SRV 2.8 TDI 6 AT,1.0,Privado,871.0
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,1177,Nacional,2024.0,20,PICK-UP,19,FORD,1H,RANGER DC XLS 3.0L V6 4X4 10AT D,1.0,Privado,6489.0
INSCRIPCION INICIAL NACIONAL,2024-02-20,2024-02-20,1195,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9N,AMAROK COMFORTLINE CD V6 AT 4X4,1.0,Privado,11887.0
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,1172,Nacional,2024.0,20,PICK-UP,19,FORD,1N,RANGER DC XL 2.0L T 4X4 MT D,1.0,Privado,11738.0
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1172,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,11739.0
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1172,Nacional,2024.0,20,PICK-UP,19,FORD,1N,RANGER DC XL 2.0L T 4X4 MT D,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-26,2024-02-26,1172,Nacional,2024.0,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1.0,Privado,7150.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1212,Nacional,2024.0,20,PICK-UP,AC,NISSAN,16,FRONTIER S 4X4 MT 2.3 D CD,1.0,Privado,617.0
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,1172,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9A,AMAROK TRENDLINE CD TDI MT 4X4,1.0,Privado,11759.0
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,1172,Nacional,2024.0,20,PICK-UP,19,FORD,1N,RANGER DC XL 2.0L T 4X4 MT D,1.0,Privado,11743.0
